Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8699186991869918,0.8484848484848485,0.9882352941176471,0.9130434782608695,0.8352941176470589
Decision Tree,0.8536585365853658,0.845360824742268,0.9647058823529412,0.9010989010989011,0.7772445820433437
Random Forest,0.8373983739837398,0.8282828282828283,0.9647058823529412,0.8913043478260869,0.865015479876161
Support Vector Machine,0.8455284552845529,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8535603715170279
XGBoost,0.8373983739837398,0.8651685393258427,0.9058823529411765,0.8850574712643678,0.821671826625387
